title,subtitle,add_labels,date,speakers,topics,scripture,summary,published,sub_id
Romans 14 - The Law Of Liberty And Love,"Bible Studies, 10 Apr 21",,4/10/21,HG Bishop Youssef,,,"""Therefore let us not judge one another anymore, but rather resolve this, not to put a stumbling block or a cause to fall in our brother’s way."" (Romans 14:13)

Tune in as His Grace takes us through Romans 14, where St Paul writes about the law of love and liberty. Listen as he speaks about not being a stumbling block to others, receiving one another rather than engaging in arguments which create division, and much more!",yes,873f5194-3cdf-4222-bf1b-8f951ba1c308
What Is The Truth?,"Spiritual Reflections, 07 Apr 21",,4/7/21,HG Bishop Youssef,,,"""Truth is not what you know but how you know.""

How do we define truth? What factors are important when searching for the truth? What are some misconceptions about defending the absolute truth? Tune in as His Grace speaks all about truth, and how to sift through what we already know to find how we know it.",yes,4d50ecfd-2cb3-48ac-aa1c-b6d42b28d011
Renewed in Christ,"Kids Corner, 04 Apr 21",,4/4/21,Monica Gerges,,,This week Monica teaches us about the Samaritan woman and explains how we can become transformed by an encounter with Christ,yes,91a02426-812d-4f91-ad23-0d48186014e3
The 3 P's To Experience His Glory,"Sunday Homilies, 11 Apr 21",,4/11/21,Fr Joseph Abraham,Patience|Prayer,,"Fr. Joseph explains that in order to live a more righteous life we must seek God‘s glory actively practicing the 3 P’s: practical surrender, prayer, and patience.",yes,013c5a4d-7513-435e-a5d2-1d34b751b151
The Sacrament Of The Present Moment: Part 24,"Series, 07 Apr 21",,4/7/21,,Sacraments,,"Fr Joseph Abraham reflects on ""The Sacrament of the Present Moment"" by Jean-Pierre de Caussade. In this segment, we contemplate on chapter 3 section 3 on 'abandonment, a pledge of predestination'.",yes,ea325a7a-78fe-470c-acf4-4e46beb34b9c
The Sacrament Of The Present Moment: Part 25,"Series, 08 Apr 21",,4/8/21,,Joy|Sacraments,,"Fr Joseph Abraham reflects on ""The Sacrament of the Present Moment"" by Jean-Pierre de Caussade. In this segment, we contemplate on chapter 3 section 4 on 'abandonment, a source of joy'.",yes,ed728704-25e6-4eff-8cb7-e55ec1fcb61d
The Sacrament Of The Present Moment: Part 26,"Series, 09 Apr 21",,4/9/21,,Faith|Sacraments,,"Fr Joseph Abraham reflects on ""The Sacrament of the Present Moment"" by Jean-Pierre de Caussade. In this segment, we contemplate on chapter 3 section 5 on 'the great merit of pure faith'.",yes,5992627a-ae52-478c-bec0-126c064c28f4
The Sacrament Of The Present Moment: Part 27,"Series, 10 Apr 21",,4/10/21,,Sacraments,,"Fr Joseph Abraham reflects on ""The Sacrament of the Present Moment"" by Jean-Pierre de Caussade. In this segment, we contemplate on chapter 3 section 6 on 'submission, a free gift from God'.",yes,ea3805bc-3671-4750-a761-ff2418b0055e
The Sacrament Of The Present Moment: Part 28,"Series, 11 Apr 21",,4/11/21,,Sacraments,,"Fr Joseph Abraham reflects on ""The Sacrament of the Present Moment"" by Jean-Pierre de Caussade. In this segment, we contemplate on chapter 3 section 7 'divine favours offered to all'.",yes,92a6d225-ad2c-4bc3-96de-0769e0f11899
Do You Want To Be Made Well?,"Sunday Homilies, 11 Apr 21",,4/11/21,Fr Anthony Mourad,Healing|Lent,,"Tune in with Fr Anthony Mourad on the fifth sunday of lent as he discusses the story of the paralytic. Just as Christ asked the paralytic man ""do you want to be made well?"" Christ also asks us today if we want to be made well. Let our hearts be ready to accept Christ's healing!",yes,5162daf4-9354-4e4a-bdee-51c32a831d99
KG- The Prodigal Son,"Sunday School, 28 Mar 21",CYC Studios,3/28/21,,,,Tune into Sunday School LIVE for KG as we discuss the prodigal son.,yes,8f406195-e8a6-4482-a060-9edc75b58b49
Reroute: You have arrived!,"Youth Talks, 09 Apr 21",,4/11/21,Fr Elijah Iskander,Church,,"The most relieving sentence to hear at the end of a longggg and difficult journey. We are here. Present in the Church. Present in God's embrace welcoming us home. 

Tune in as Fr Elijah guides us though how we reflect on our journey now that we have reached the destination!",yes,379530bf-fccb-4156-98d2-52ca8b36dd1f
Spiritual Toolbox: Almsgiving- The Neglected Discipline (Part 6),"Series, 11 Apr 21",,4/11/21,,,,"How do you define 'almsgiving'? Is it just about monetary donations? 
Tune in, as Fr James discusses what almsgiving really entails and why it needs to be apart of our spiritual toolbox.",yes,33ebdba6-967b-4b7a-be11-e49c0f785321
Renewal at the Beginning of a New Year,"Sunday Homilies, 10 Sep 17",,9/10/17,Fr Tadros Yacoub Malaty,Renewal,,Tune in to Fr Tadros exploring the concept of renewal at the beginning of a new coptic year.,yes,5b6ecbe0-4b65-4b3f-88e2-96a11cb0d938
Practicing New Life in Christ,"Sunday Homilies, 26 Nov 17",,11/26/17,Fr Tadros Yacoub Malaty,Eternal Life,,How can we practice Heaven on earth? Is it really possible? Tune in to Fr Tadros as he explains prating new life in Christ.,yes,f65395e5-89b7-4266-a4c0-9b1846a48324
The Kingdom within Ourselves,"Sunday Homilies, 29 Oct 17",,10/29/17,Fr Tadros Yacoub Malaty,,,"""If a kingdom is divided against itself, that kingdom cannot stand"" Mark 3:24. 
Tune into Fr Tadros discussing the kingdom within ourselves & how to stop the division.",yes,8d2c3b2d-59a6-4019-b2b5-5248dd40706e
St John the Baptist - Speaking to the Heart of Man,"Sunday Homilies, 17 Sep 17",,9/17/17,Fr Tadros Yacoub Malaty,,,What does it mean to speak to the Heart of Man? Tune into Fr Tadros exploring the story of St John the Baptist & the example he set for us in Luke 7.,yes,d60419fc-d8a0-4844-8c0f-f124e3e41529
The Parable of the Sower,"Sunday Homilies, 12 Nov 17",,11/12/17,Fr Tadros Yacoub Malaty,Parable,,Tune into to Fr Tadros exploring the Parable of the Sower in Luke 8.,yes,d4084c75-9ce0-42f6-9b40-4cfe940dba5a
Archangel Michael - What can we learn?,"Sunday Homilies, 22 Oct 17",,10/22/17,Fr Tadros Yacoub Malaty,,,"Didi you know: on the 12th of every Coptic Month we commemorate Archangel Michael.
Tune into Fr Tadros exploring the many lessons we can learn from Archangel Michael.",yes,4281850d-4e4b-48e2-a35a-aa1ab5ace8a3
He Had Compassion on Her,"Sunday Homilies, 05 Nov 17",,11/5/17,Fr Tadros Yacoub Malaty,,,"""When the Lord saw her, He had compassion on her & said to her, 'Do not weep'"" Luke 7:13. Compassion is one of the many traits that God shares with us. Tune into Fr Tadros exploring the love & compassion that God has for each & every one of us.",yes,9e602ae1-73e4-4585-bb22-e03bd00f4bf2
Pre-KG - The Prodigal Son,"Sunday School, 28 Mar 21",CYC Studios,3/28/21,,,,Tune into Sunday School LIVE for Pre-KG as we talk about the Prodigal Son.,yes,cd86a540-0d4e-48ca-96ac-a6f9ee5f5c0a
Nearing the End,"Sunday Homilies, 03 Sep 17",,9/3/17,Fr Tadros Yacoub Malaty,,,"As we approach the end of another Coptic Year, are we ready for what come's next? Are we prepared?
Tune into Fr Tadros discussing preparedness for the 2nd coming of Christ.",yes,843b0158-7f04-4243-afb9-b2a9b45b4244
Middle School- Honour Your Father and Mother,"Sunday School, 28 Mar 21",CYC Studios,3/28/21,,,,Tune into Sunday School for Middle School as we talk about honouring our parents.,yes,5ab14c11-7e99-456c-9b16-c11b375cfe50
The Ladder of Divine Ascent,St John Climacus,,,,Eternal Life,,"The Ladder of Divine Ascent is St John Climacus' contemplation on attaining spiritual perfection in our lives. Inspired by the ladder leading to heaven seen by Jacob, the book defines thirty steps to reach heaven, corresponding to the thirty years Jesus spent on Earth before starting His ministry",yes,1157e84a-4efc-41e1-97a5-211aa193c595
The Ascetical Homilies of St Isaac the Syrian,St Isaac the Syrian,,,,Peace|Prayer|Eternal Life,,"'Make peace within yourself, and both heaven and earth will make peace with you' -St Isaac the Syrian
The Ascetical Homilies includes a series of sermons by St Isaac the Syrian in which he speaks about the life of stillness and prayer. This piece has inspired monks and lay people for generations, and was one of the major influences in the life of the spiritual giant, Pope Kyrillos VI",yes,ac679e16-6dca-4b11-a574-c0e52ad0fef6
Healing Hurts: Part 5 - Grace,"Series, 11 Apr 2021.",,4/11/21,Fr. Anthony Messeh,Grace|Healing|Mercy,,"Fr Anthony Messeh continues the series of ""Healing Hurts"" and ponders on the idea of God's grace. When we are undeserving of God's mercy, he still works wonders for us! Tune in!",yes,e3042c66-af8b-433f-8b0a-ab4609308901
Acedia,,,,,,,,no,c937d6b0-17a2-4ec6-aff4-bb79f69afec3
Part 6: Acedia (Spiritual Apathy),"Series, 15 Apr 21",,4/15/21,,,,"Tune in with Fr Anthony Mourad on the sixth part of the series ""Combatting the Passions"" as he discusses how we can conquer acedia, which is the state of spiritual apathy.",yes,4ca30996-f9db-4035-b02f-fd62fb21a511
High School- The Holy Myron,"Sunday School, 28 Mar 21",CYC Studios,3/28/21,,,,Tune into Sunday School LIVE for High School as we discuss the Holy Myron.,yes,c5323f5c-77c1-4b03-9772-bd7a9d2d2c60
Elementary- The Temptation,"Sunday School, 28 Mar 21",CYC Studios,3/28/21,,Temptation,,Tune into Sunday School LIVE for Elementary as we talk about the temptation of Jesus.,yes,e42c55a8-b276-4dc6-a9e8-9bf8c71a3ccc
KG- The Annunciation,"Sunday School, 04 Apr 21",CYC Studios,4/4/21,,,,Tune into Sunday School LIVE for KG as we talk about the annunciation.,yes,82d3aec3-451f-455f-acea-b6eeefc1e556
Elementary- The Importance of the Great Lent,"Sunday School, 04 Apr 21",CYC Studios,4/4/21,,Lent,,Tune into Sunday School LIVE for Elementary as we talk about the importance of the great lent.,yes,f071dc41-e607-4db3-9396-59b39ef4680d
Pre KG- The Samaritan Woman,"Sunday School, 04 Apr 21",CYC Studios,4/4/21,,,,Tune into Sunday School for Pre-KG as we talk about the Samaritan Woman.,yes,ac2ed307-7ae5-4852-920f-6472a34798b8
The Cycle of Repentance,"Short & Sweet, 28 Mar 21",,3/28/21,Fr. Paul Fanous,Lent|Repentance,,"Why is Lent a time of repentance? What makes it such a special journey in our spiritual lives?
Tune in as Fr. Paul Fanous discusses the importance of starting the process of repentance during the Holy Lent!",yes,241da35d-4a34-47ff-a159-3e29cbaf84b8
Where is my Treasure?,"Short & Sweet, 28 Feb 21",,2/28/21,Michael Iskander,Church,,"Often we focus on building a perishable kingdom, and so when we come to church and Christ presents Himself on the altar, we often miss the wonder that is in front of us. Listen to this engaging sermon as we are encouraged to build an everlasting kingdom in Christ.",yes,93a5292c-a171-4e19-ab8b-c4d8b2194a97
The Sacrament Of The Present Moment: Part 29,"Series, 12 Apr 21",,4/12/21,,Sacraments,,"Fr Joseph Abraham reflects on ""The Sacrament of the Present Moment"" by Jean-Pierre de Caussade. In this segment, we contemplate on chapter 3 section 8 on 'God reigns in a pure heart'.",yes,d26f1990-0504-4777-b49c-5da450fdc066
The Sacrament Of The Present Moment: Part 30,"Series, 13 Apr 21",,4/13/21,,Sacrifice|Sacraments,,"Fr Joseph Abraham reflects on ""The Sacrament of the Present Moment"" by Jean-Pierre de Caussade. In this segment, we contemplate on chapter 4 'the duties of those souls called by God to the state of abandonment' section 1 on 'sacrifice, the foundation of sanctity'.",yes,87ffd7a0-3d4f-47bc-b4ee-d6a7ba00c42b
The Sacrament Of The Present Moment: Part 31,"Series, 14 Apr 21",,4/14/21,,Sacraments,,"Fr Joseph Abraham reflects on ""The Sacrament of the Present Moment"" by Jean-Pierre de Caussade. In this segment, we contemplate on chapter 4 section 2 on 'the pains and consolations of abandonment'.",yes,5c941c7b-39d1-4015-b872-28a9908d29b5
The Sacrament Of The Present Moment: Part 32,"Series, 15 Apr 21",,4/15/21,,Sacraments,,"Fr Joseph Abraham reflects on ""The Sacrament of the Present Moment"" by Jean-Pierre de Caussade. In this segment, we contemplate on chapter 4 section 3 on 'the different duties of abandonment'.",yes,5e05559e-d713-4ab4-b72f-50b909876b71
The Sacrament Of The Present Moment: Part 33,"Series, 16 Apr 21",,4/16/21,,Sacraments,,"Fr Joseph Abraham reflects on ""The Sacrament of the Present Moment"" by Jean-Pierre de Caussade. In this segment, we contemplate on chapter 4 section 4 on 'God does all for a soul of goodwill'.",yes,cf238501-f6e2-4250-9290-b660271eb824
Episode 30 - Say Yes to Healing,"EAM, 7 Apr 21",,4/7/21,,Healing|Lent,,"The fifth episode of the ""Great Lent"" series where we discuss Jesus healing the paralytic man who struggled for 38 years and how this story inspires our own Lenten journeys. Join us as we talk about how Christ is the True Physician in the midst of our own struggles and how He can heal us every day!",yes,698b3d5f-04cc-4cf3-90e5-95180ccab4c3
Episode 31 - Being Enlightened,"EAM, 15 Apr 21",,4/15/21,,Healing|Lent|Mercy|Repentance,,"The sixth episode of the ""Great Lent"" series where we discuss Jesus healing the man born blind found in John 9:1-41 and how this story inspires our own Lenten journeys. Join us as we talk about being enlightened by our Lord Jesus Christ through His mercy and healing as we are physically and spiritually healed through repentance!",yes,8e2d60a4-0638-4a86-b1ae-5a8a2003ecd6
Episode 17 - Apologising to our Kids,"Raising up Copts, 8 Apr 21",,4/8/21,,,,"Is there a right way to apologize to our kids? This week, Madona and Laura share listener responses on apologizing, as well as some tips on how to do it well.",yes,6df1ba13-d10e-4035-98e7-322aaca6ccbd
"Season 2, Episode 2 - Mental Health in Service","Service in Practice, 13 Apr 21",,4/13/21,,Church|Confession|Faith|Mental Health|Repentance|Service|St Mary,,"On this episode of Service in Practice, I had the blessing to interview Fr. Luke of the Coptic Orthodox Church of St Mary and St Mercurius in Belleville, NJ. Fr. Luke also practices at St. Luke’s Clinic, a psychiatric clinic that is part of the church. He also teaches as an adjunct professor at New Jersey Medical School.

Fr. Luke speaks about his practice and the importance of mental health to the life of the Church and to service. We begin with some of the barriers to mental health help, and how the Church can help break those down. He also talks about the 12-step recovery process for addiction, comparing it to several Orthodox practices - repentance, confession, and service, to name a few. 

One great starting place Fr. Luke recommends is the book God’s Path to Sanity, by Dee Pennock, with a biblical and patristic basis for mental illness: https://store.ancientfaith.com/gods-path-to-sanity/",yes,3c7ef5d3-fabe-4bbe-8ca2-6d1bf9333efd
Evidence For God In The Creation (Big Bang),"Spiritual Reflections, 04 Apr 21",,4/4/21,Fr Gabriel Wissa,Creation,,"God is not against science, in fact, God is the ultimate scientist. A scientist observes data, and based on these observations, comes to a conclusion. Tune in as Fr Gabriel addresses science",yes,923a5a97-3a04-4676-b59e-acbd7b6ad343
Healing Hurts: Part 5 - Grace,"Series, 11 Apr 2021",,4/11/21,Fr. Anthony Messeh,Grace|Healing|Mercy,,"Fr Anthony Messeh continues the series of ""Healing Hurts"" and ponders on the idea of God's grace. When we are undeserving of God's mercy, he still works wonders for us! Tune in!",yes,0f8ed6c2-8723-4fbf-8991-2c5dc0fc84f9
Yearning for Christ,"Sunday Homilies, 04 April 2021",,4/4/21,Fr Daniel Habib,Lent|Unity,,"During this blessed time of lent, we are given an opportunity to draw near to Christ. Tune into Fr Daniel's talk as he talks about practical ways to yearn for the company of Christ!",yes,d06eac7f-8240-4320-b2e8-391df2f8b6d0
Episode 32 - The Humble King,"EAM, 20 Apr 21",,4/20/21,,Comfort|Lent|Relationship,,"The seventh episode of the ""Great Lent"" series where we discuss Jesus' grand entrance into Jerusalem and how this story inspires our own Lenten journeys. Join us as we contemplate on the crowds cries transitioning from ""Hosanna"" to ""Crucify Him"" and how this is paralleled in our own lives.  Listen in as we explore ways to deepen our relationship with our humble King this coming passion week at the comfort of our homes!",yes,a2d63bc0-f8fe-41d7-a367-d9d842c3e660
Do Not Lose Heart,"Sunday Homilies, 11 Apr 21",,4/11/21,Fr Abraham Fam,Healing|Lent,,"We are reminded by one of our focuses for Lent - HEALING - with the Gospel reading of the paralysed man. Fr Abraham reminds us to look into ourselves to see what is holding us down/back, to turn fully to God and rely on Him for healing.",yes,5a37b0d7-1eaa-4d91-8945-a91e3b4c901c
Open Your Eyes,"Sunday Homilies, 18 Apr 21",,4/18/21,Fr Anthony Mourad,Lent,,Tune in with Fr Anthony Mourad on the sixth sunday of lent as he discusses the story of the blind man and alerts us that unless our eyes are open we cannot see God for who He truly is.,yes,d03ec3b8-c947-4081-a98f-a8cae68e0a71
Take Up Your Bed,"Sunday Homilies, 11 Apr 21",,4/11/21,Fr Michael Sorial,Faith|Fear,,"Do you want to be made well? 

Do you believe that He can make you better? Do you believe that you can be better and live differently? Do you have faith?

What is our bed that God asks us to take up? It is our past, our sins, fears and insecurities. Listen in to find out more with Fr Michael's sermon on the gospel of the paralysed man.",yes,19f33112-559f-40e3-a1ed-970846ddfd7b
"Patience, The Space For Repentance","Sunday Homilies, 28 Mar 21",,3/28/21,Fr David Milad,Patience|Repentance,,Tune in to Fr David as he discusses the importance of patience in our lives,yes,5371b741-da46-4a26-8d22-a0f1afb6e1ac
"Samaritan Woman, A Paradoxical Meeting","Sunday Homilies, 04 Apr 21",,4/4/21,Fr David Milad,,,Tune in to Fr David as he explains the paradoxes in Christ's encounter with the Samaritan Woman.,yes,102eed07-dfba-4a6b-aa90-55999ed59624
Pain That Leads To Healing,"Sunday Homilies, 11 Apr 21",,4/11/21,Fr David Milad,Comfort|Healing,,Tune in to Fr David as he explains how healing requires some discomfort.,yes,139fcf9c-8f00-4b7e-b128-88eee1470405
Baptism Sunday,"Sunday Homilies, 18 Apr 21",,4/18/21,Fr David Milad,Miracle|Sacraments,,"Tune in to Fr David as he contemplates on the miracle in John 9, the man who was born blind.",yes,e7de4a9a-8e5f-4a6a-ae55-09ebdea03a51
Psalm 1 - Walking In Righteousness,"Bible Studies, 10 Apr 21",,4/10/21,HG Bishop Youssef,Wisdom,,"""But his delight is in the law of the Lord, and in His law he meditates day and night."" (Psalm 1:2)

Psalm 1, classified as a wisdom psalm, contrasts two fundamental choices; walking in righteousness or in the way of wickedness. Tune in as His Grace kicks off this new Bible study series with Psalm 1, where he speaks about the search for happiness, walking in the way of godliness, and much more!",yes,74f2f0f9-d4cb-432a-9e13-ce0272dde8d1
Seeking Enlightenment,"Spiritual Reflections, 17 Apr 21",,4/17/21,HG Bishop Youssef,Church|Holy Spirit,,"""Enlightenment is to know the truth - the believe the truth. To see things through the eyes of God, that the Holy Spirit will dwell in you and enlighten your heart, your mind, your eyes, your conscience. Enlightenment doesn't mean to compromise the canons of the church. It doesn't mean to be tolerant to sin.""

Tune in as His Grace speaks all about seeking enlightenment, especially in the current day and age!",yes,bea7f19f-118a-45df-9aef-a596dd71a84a
Psalm 2 - Anointed As Christ's,"Bible Studies, 17 Apr 21",,4/17/21,HG Bishop Youssef,Fear,,"""Now therefore, be wise, O kings; be instructed, you judges of the earth. Serve the Lord with fear, and rejoice with trembling."" (Psalm 2:10-11)

Tune in as His Grace continues the study of the book of Psalms with Psalm 2!",yes,030ddab8-e714-4a3d-9cbf-cf1c14175613
The Man Born Blind,"Sunday Homilies, 18 Apr 21",,4/18/21,HG Bishop Youssef,Church|Doubt|Lent|Miracle|Sacraments,,"Today is the final Sunday of Lent, also known as the Sunday of Baptism. Becoming a believer means a person moves from blindness to the light of Christ, and so the Church reads the Gospel of the man born blind.

Tune in as His Grace speaks about the four main questions that this miracle reveals the answers to - why we suffer, if the miracles of Christ are true, who Jesus is, and why people still doubt and deny Christ.",yes,b7334c1f-04b8-40f0-86e8-18964c9f1adf
Episode 13: Mental Health Matters,"The Righteous Man, 21 Apr 21",,4/21/21,,Lent|Mental Health|Relationship,,"""What are some of the best ways to support family/friends when mental health ain’t so healthy?""...""How to deal with mental illness in a romantic relationship? And when is it okay to walk away?""...""How do we learn to not step away from people that have a complicated life?""... ""How do you take care of yourselves when doing a service that can cause so much mental or emotional strain?""... 

Tune in to Episode 13 as your hosts cap off the TRM Series on Mental Health with a very special Q&A Episode with plenty (probably a bit too much) banter along the way!",yes,e2ef3188-487e-49f9-899d-58ccf6bbb06c
I Have No Man,"Sunday Homilies, 11 Apr 21",,4/11/21,Fr Daniel Fanous,Loneliness,,"When the paralytic man said that he has no man, Christ became that Man for him. Listen to Fr Daniel as he teaches us that there are two groups in society; either we are lonely and are in need of Christ as that Man, or we are not, and are called to be that man for others.",yes,d1a614b1-0555-4ed2-ab0c-82e23fdc3b95
The Meeting,"Sunday Homiles, 04 Apr 21",,4/4/21,Fr Samuel Fanous,Lent,,"Why is a whole chapter dedicated to this random meeting of Christ with the Samaritan woman? Tune in as Fr Samuel Fanous takes us through the gospel of the 5th Sunday of lent, The Samaritan Woman.",yes,3af1fa33-2be8-498e-84f1-2229cdeab68f
Finding Hope When: I Am Surrounded by Temptations,"Sunday Homilies, 21 Mar 21","St Maurice & St Verena Coptic Orthodox Church, Ontario, CA",3/21/21,,Hope|Lent|Temptation,,"On the second Sunday of Lent, Fr Pishoy Salama contemplates on temptation Sunday and tackles the idea that the struggle against sin and temptation is present in each and every one of our lives. Yet, our hope lies in Christ lifting us up when we fall. 

Tune in to an uplifting sermon by Fr Pishoy Salama!",yes,eebd31f1-711c-4c11-ad0f-8e3f504e3ae5
Finding Hope When: I Am Down,"Sunday Homilies, 28 Mar 21","St Maurice & St Verena Coptic Orthodox Church, Ontario, CA",3/28/21,,Hope|Lent|Repentance,,"On the third Sunday of Lent, Fr Thomas Hanna contemplates on the return of the Prodigal Son which was fuelled by hope that the Father will receive him again. God desires our repentance and return more than a righteous life. Tune in to an enlightening sermon!",yes,65cd771f-51d5-4b02-8982-e96c19ce46ef
Not Even A Hint,"Youth Talks, 28 Mar 21",,3/28/21,Marc Bastawrous,Temptation,,"Tune in as Marc explains how we should not give into temptation, but flee before it develops into a sin.",yes,c6513511-5c3d-4824-a506-e51e4f6531c5
Healing Hurts: Part 6: Obedience,"Series, 18 Apr 2021",,4/18/21,Fr Timothy Fam,Healing|Obedience,,"Fr Timothy Fam continues the series ""Healing Hurts"" and contemplates on obedience and the certain fruits obedience produces. Tune in!",yes,84d668a3-c44c-498b-b153-b7be99baa4e1
The Sacrament Of The Present Moment: Part 34,"Series, 17 Apr 21",,4/17/21,,Sacraments,,"Fr Joseph Abraham reflects on ""The Sacrament of the Present Moment"" by Jean-Pierre de Caussade. In this segment, we contemplate on Chapter 4 Section 5 on ""the common way of all souls"".",yes,321b4059-2f0d-4480-a8bd-5d58f59b7c3c
The Sacrament Of The Present Moment: Part 35,"Series, 18 Apr 21",,4/18/21,,Sacraments,,"Fr Joseph Abraham reflects on ""The Sacrament of the Present Moment"" by Jean-Pierre de Caussade. In this segment, we contemplate on Chapter 4 Section 6 on ""the duty of the present moment, the only rule"".",yes,5c43b691-aa36-4054-a37d-c9a3cd568965
The Sacrament Of The Present Moment: Part 36,"Series, 19 Apr 21",,4/19/21,,Trust|Sacraments,,"Fr Joseph Abraham reflects on ""The Sacrament of the Present Moment"" by Jean-Pierre de Caussade. In this segment, we contemplate on Chapter 4 Section 7 on ""trust in the guidance of God"".",yes,b9d79411-6d51-4ba8-88e9-32db731ff533
The Sacrament Of The Present Moment: Part 37,"Series, 20 Apr 21",,4/20/21,,Faith|Sacraments,,"Fr Joseph Abraham reflects on ""The Sacrament of the Present Moment"" by Jean-Pierre de Caussade. In this segment, we contemplate on Chapter 4 Section 8 on ""great faith is necessary"".",yes,66ab1857-1d3f-4bc8-a9ec-8e0b81239ca0
The Sacrament Of The Present Moment: Part 38,"Series, 21 Apr 21",,4/21/21,,Sacraments,,"Fr Joseph Abraham reflects on ""The Sacrament of the Present Moment"" by Jean-Pierre de Caussade. In this segment, we contemplate on Chapter 5 titled ""the trials connected with the state of abandonment"" Section 1 on ""unwise interference"".",yes,926b60d6-548e-4606-8fab-256d0f7c8c4f
The Sacrament Of The Present Moment: Part 39,"Series, 22 Apr 21",,4/22/21,,Judgement|Sacraments,,"Fr Joseph Abraham reflects on ""The Sacrament of the Present Moment"" by Jean-Pierre de Caussade. In this segment, we contemplate on Chapter 5 Section 2 on ""unjust judgements"".",yes,4180b50b-7014-4c1a-b4c3-086b44b3dff4
The Sacrament Of The Present Moment: Part 40,"Series, 23 Apr 21",,4/23/21,,Sacraments,,"Fr Joseph Abraham reflects on ""The Sacrament of the Present Moment"" by Jean-Pierre de Caussade. In this segment, we contemplate on Chapter 5 Section 3 on ""self contempt"".",yes,844e3f98-df3a-46b7-b569-370f5cc664cd
Constant Participation In Baptism,"Sunday Homilies, 17 Apr 21",,4/17/21,Fr Daniel Meleka,Confession|Repentance|Unity|Sacraments|Renewal,,"Fr. Daniel Meleka explains that although we were baptised as babies, we have the opportunity to participate in the renewal of our spirits through confession and repentance.",yes,796e3309-602d-4293-bd8e-bf326bd29dff
The Cross and the Passion of Christ (Narrated By Karin Zaki),"Voices Of St Cyril's, 23 Apr 21",,4/23/21,Karin Zaki,,,St Methodius was born in the 3rd Century and was the bishop of Olympus in modern day Turkey. Only some of his writings remain including this piece. Homily on the Cross and the Passion of Christ. He addresses objections to Christ's suffering.,yes,d8354873-942a-49a0-aba9-b301db9cd965
Do Not Be Conquered By The Worlds Darkness,"Spiritual Reflections, 02 Apr 21",,4/2/21,Fr Gabriel Wissa,,,"'And do not be conformed to this world, but be transformed by the renewing of your mind, that you may prove what is that good and acceptable and perfect will of God.' Romans 12:2

Join us as Fr Gabriel Wissa teaches the importance of not conforming to ways of the world from a Christian outlook. Listen now!",yes,71bc57d3-ac2c-4474-865d-453e163b33a3
Becoming the Aroma of Christ - Part 4: Discernment,"Series, 04 Apr 21",,4/4/21,,,,"Tune in as Fr Paul Guirguis continues the series, explaining the importance of discerning what is right and what is wrong.",yes,ea42257d-4043-45c9-a45e-6a96bfe3c297
How Do We Respond to the Mercy of God?,"Sunday Homilies, 12 Apr 21",,4/12/21,Fr Matthias Shehad,Mercy,,Each of us receive God's mercy but all of us respond differently to this mercy. Some of us don't realise God's mercy. Join Fr Matthias as he discusses how we should respond to God's mercy.,yes,b39d50b1-2abf-46c8-8f4e-cc90edf0f64d
2nd Corinthians 9:1-10:6 (God Gives Most),"Bible Studies, 16 Apr 21",,4/16/21,Fr Matthias Shehad,Joy,,"Giving out of love and joy and not expecting anything in return, is what God encourages us to do. God will reward us for our giving but this should not be the main reason why we give. Tune in to this Bible study by Fr Matthias Shehad as he explores the concept of giving and how God gives the most.",yes,ea57159a-438f-4d03-97f6-38410dba1c11
Desert Fathers - Detachment & Praise,"Spiritual Reflections, 12 Apr 21",,4/12/21,Fr Matthias Shehad,,,Join Fr Matthias as he explains the concept of detachment and praise in relation to the desert fathers by exploring the life of Abba Macarius.,yes,778423c7-e073-4172-be67-d26e58b56fba
2nd Corinthians 7:12-8:24 (Great Generosity),"Bible Studies, 09 Apr 21",,4/9/21,Fr Matthias Shehad,Joy,,"Join Fr Matthias as he delves into this Bible study and discusses joy in persecution and poverty, tithing and giving ourselves to the Lord.",yes,7085f31b-6083-414c-85c0-e709d4c18a0b
"Those Who Do Not See May See, and That Those Who See May Be Made Blind","Sunday Homilies, 19 Apr 21",,4/19/21,Fr Matthias Shehad,Fear|Pride,,"Fr Matthias discusses the story of the man born blind and how we also, can be blinded by our fear and pride.",yes,4efddb67-ecab-4072-9199-4c94d3d649e9
"Desert Fathers - Detachment, Praise & Reconciliation","Spiritual Reflections, 19 Apr 21",,,Fr Matthias Shehad,Judgement,,"Fr Matthias discusses Abba Macarius' teachings on praise and criticism, Abba Agathon's teachings on criticism, St. Anthony the Great, conflict with others and lack of judgement.",yes,53eb11c6-b354-4c80-82b0-8997b3b4d00a
Part 7: Pride,"Series, 22 Apr 21",,4/22/21,,Pride,,"Tune in with Fr Anthony Mourad on the final part of the series ""Combatting the Passions"" as he discusses how it is we can combat pride, the foundation of all our sinful desires.",yes,aea278d5-b953-450d-98be-7744961d3943
Becoming the Aroma of Christ - Part 5: Purity of Heart,"Series, 11 Apr 21",,4/11/21,,Purity,,"Tune in as Fr Paul Guirguis continues the series, explaining the importance of having purity in heart.",yes,1dd9e0e2-5694-471d-a0d7-6454522dc1c7
